Major,SchoolWorkHours,Terms,CreditHours,Distance,Roommates,Job,SchoolMaterialsDollars,Salary,Activity,Height,Gender,Email,TextMessages,Phone,Gaming,GamingHours,Profile,SocialTime,SubjectPreferred,International,States
Civil or CEM,25,5,12,0,1,2,400,6e4,60,69,Other,15,40,iOS,Computer,15,TRUE,120,Math,FALSE,7
Mechanical Engineering,20,8,13,0.6,6,2,200,5e4,125,68.5,Male,6,41,Android,Computer,25,TRUE,90,Math,FALSE,48
Computer Science,25,5,15,2,3,3,200,6e4,20,70,Male,55,33,Android,Computer,10,TRUE,0,Math,FALSE,5
Industrial Engineering,25,3,18,19.41672131147541,2,0,300,6e4,60,68,Male,7,55,iOS,Computer,5,TRUE,60,Math,TRUE,4
Civil or CEM,14,10,10,1.5,2,3,150,6e4,60,71,Male,10,35,iOS,Computer,5,TRUE,30,Math,FALSE,11
Civil or CEM,15,7,13,1,2,2,250,8e4,80,70,Male,10,52,iOS,Console,15,TRUE,30,Math,FALSE,6
Computer Science,35,4,16,5.4,3,6,50,5e4,20,64,Female,5,38,iOS,Mobile,0,TRUE,5,Math,FALSE,24
Mechanical Engineering,30,8,12,0.8,4,3,300,8e4,60,67,Male,4,11,iOS,Console,3,TRUE,80,Math,FALSE,5
Civil or CEM,5,10,13,19.41672131147541,1,1,500,153e3,120,72,Male,6,32,iOS,Console,7,TRUE,60,Math,TRUE,9
Civil or CEM,15,12,7,1.5,2,10,350,55e3,30,71,Male,15,10,Android,Mobile,2,TRUE,20,Math,FALSE,16
Civil or CEM,18,8,14,2,4,3,200,7e4,90,72,Male,2,25,iOS,Console,5,TRUE,90,Math,FALSE,7
Civil or CEM,4,10,8,27,2,6,300,45e3,45,74,Male,11,13,Android,Computer,5,TRUE,5,Writing,FALSE,13
Civil or CEM,27,10,15,0.6,4,4,70,65e3,30,67,Male,10,42,Android,Console,20,TRUE,180,Math,FALSE,10
Other,18,4,18,19.41672131147541,1,9,300,55e3,0,70,Male,8,10,iOS,None (I don't play video games),0,TRUE,10,Math,FALSE,43
Mechanical Engineering,8,5,19,19.41672131147541,4,1,300,6e4,15,70,Male,5,11,Android,Computer,10,FALSE,0,Math,FALSE,6
Other,20,8,13,204,0,5,350,6e4,25,75,Male,14,47,Android,Computer,10,TRUE,75,Math,FALSE,9
Civil or CEM,22,11,12,2.49,3,1,400,75e3,30,69,Male,7,28,iOS,Console,20,TRUE,75,Math,FALSE,11
Computer Science,15,5,15,19.41672131147541,2,1,100,6e4,30,64,Male,10,12,iOS,Computer,0,TRUE,120,Math,TRUE,2
Civil or CEM,40,2,14,0.5,2,2,300,8e4,120,73,Male,14,42,iOS,Console,2,TRUE,20,Math,FALSE,4
Mechanical Engineering,16,8,14,1.5,4,6,200,6e4,40,72,Male,2,53,Android,Console,3,TRUE,90,Math,FALSE,7
Civil or CEM,20,4,12,0.6,1,1,75,5e4,600,70,Male,9,51,iOS,None (I don't play video games),0,TRUE,276,Writing,TRUE,4
Mechanical Engineering,20,6,14,0.7,25,4,300,6e4,30,72,Male,4,22,iOS,Console,1,TRUE,120,Math,FALSE,12
Mechanical Engineering,10,9,13,1,3,2,600,8e4,120,67,Male,60,16,iOS,Computer,30,TRUE,120,Math,FALSE,4
Computer Science,50,7,15,1,4,1,100,6e4,180,69,Male,8,27,iOS,Console,10,TRUE,60,Math,TRUE,2
Computer Science,20,5,15,19.41672131147541,4,4,300,5e4,60,68,Male,10,41,Android,Computer,3,TRUE,1,Math,TRUE,6
Computer Science,0,3,16,0.25,4,2,150,65e3,60,73,Male,18,42,Android,Computer,13.65,TRUE,180,Writing,FALSE,15
Civil or CEM,35,12,17,0.5,1,0,200,45e3,40,69,Male,5,4,iOS,Mobile,4,TRUE,30,Writing,TRUE,6
Civil or CEM,6,6,14,0,1,6,550,75e3,0,70,Male,12,17,iOS,Console,28,TRUE,0,Math,FALSE,4
Mechanical Engineering,10,4,6,48,1,7,200,6e4,30,75,Male,3,1,Android,Computer,10,TRUE,5,Math,FALSE,5
Other,11,2,13,0.7,6,0,300,4e4,30,66,Male,7,54,iOS,None (I don't play video games),0,TRUE,80,Math,TRUE,2
Computer Science,35,5,16,19.41672131147541,3,1,300,5e4,0,70,Male,10,1,iOS,Computer,50,TRUE,120,Math,FALSE,1
Computer Science,17,4,13,19.41672131147541,1,0,150,8e4,2,74,Male,8,2,iOS,Computer,10,FALSE,120,Math,TRUE,7
Computer Science,3,4,17,1,3,1,300,5e4,60,72,Male,10,41,iOS,None (I don't play video games),0,TRUE,60,Math,FALSE,4
Computer Science,25,5,14,0.5,4,4,100,8e4,30,76,Male,8,6,iOS,Computer,15,TRUE,60,Math,FALSE,10
Computer Science,25,5,15,0.6,1,3,200,8e4,15,75,Male,15,49,Android,Computer,6,TRUE,60,Math,FALSE,6
Computer Science,12,8,15,19.41672131147541,50,3,300,9e4,90,71,Male,11,44,iOS,Console,2,TRUE,45,Math,FALSE,5
Computer Science,30,4,16,0.3,7,1,200,55e3,45,69,Male,1,1,Android,Computer,15,TRUE,15,Math,FALSE,20
Computer Science,4.5,2,15,0,1,0,200,35e3,10,65,Male,1,22,Android,Computer,37,TRUE,240,Math,FALSE,4
Computer Science,6,10,10,2,2,1,400,6e4,50,71,Male,14,56,iOS,Console,15,TRUE,300,Math,FALSE,3
Mechanical Engineering,40,7,14,0.3,4,5,200,6e4,60,73,Male,11,42,iOS,None (I don't play video games),0,TRUE,60,Math,FALSE,8
Computer Science,15,5,15,2.4,4,3,100,6e4,60,65,Female,10,57,iOS,Console,2,TRUE,45,Math,FALSE,19
Computer Science,40,5,18,19.41672131147541,2,0,300,12e3,60,66,Female,18,1,Android,None (I don't play video games),0,TRUE,120,Math,TRUE,1
Civil or CEM,40,2,18,1.5,3,6,200,6e4,15,72,Male,20,27,Android,None (I don't play video games),0,TRUE,30,Math,FALSE,8
Computer Science,15,5,14,244,48,2,300,8e4,30,72,Female,13,34,iOS,Console,0,TRUE,226,Math,FALSE,9
Civil or CEM,5,5,16,120,50,3,300,6e4,120,72,Male,8,30,iOS,Console,3,TRUE,60,Math,FALSE,22
